Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Brand Name,Product Name,Sales,Quantity,Profit,Profit (bins),Discount,Month,Year,MonthName,Month Num
CA-2013-101343,18-Jul-13,23-Jul-13,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,Sony,Sony HT-RT3 Real 5.1ch Dolby Digital Soundbar Home Theatre System,16321,1,2121.73,0,19,Jul-13,2013,July,7
CA-2014-163405,22-Dec-14,26-Dec-14,Standard Class,BN-11515,Bradley Nguyen,Consumer,United States,Los Angeles,California,90049,West,Sony,Sony HT-RT40 Real 5.1ch Dolby Digital Tall boy Soundbar Home Theatre System,16373,1,2128.49,0,18,Dec-14,2014,December,12
CA-2014-163405,22-Dec-14,26-Dec-14,Standard Class,BN-11515,Bradley Nguyen,Consumer,United States,Los Angeles,California,90049,West,Sony,Sony HT-S700RF Real 5.1ch Dolby Digital Tall boy Soundbar Home Theatre System,10340,1,1344.2,0,19,Dec-14,2014,December,12
US-2013-115819,20-Apr-13,25-Apr-13,Second Class,JO-15280,Jas O'Carroll,Consumer,United States,Los Angeles,California,90049,West,Sony,Sony HT-X8500 Single 2.1Ch Soundbar with Dolby Atmos and Built-in subwoofers - Black,15457,1,2009.41,0,18,Apr-13,2013,April,4
US-2013-115819,20-Apr-13,25-Apr-13,Second Class,JO-15280,Jas O'Carroll,Consumer,United States,Los Angeles,California,90049,West,Sony,Sony SA-Z9R Wireless Rear Speaker for HT-Z9F,25884,1,3364.92,0,15,Apr-13,2013,April,4
US-2013-115819,20-Apr-13,25-Apr-13,Second Class,JO-15280,Jas O'Carroll,Consumer,United States,Los Angeles,California,90049,West,Sony,Sony SA-D40 4.1 Channel Multimedia Speaker System with Bluetooth,20883,1,2714.79,0,19,Apr-13,2013,April,4
US-2013-116729,26-Dec-13,29-Dec-13,First Class,GK-14620,Grace Kelly,Corporate,United States,Los Angeles,California,90049,West,Boat,boAt Aavante Bar AB3100D 260 W Bluetooth Soundbar (5.1 Channel),22805,1,2964.65,0,14,Dec-13,2013,December,12
CA-2011-106439,31-Oct-11,04-Nov-11,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Los Angeles,California,90049,West,Boat,boAt Aavante Bar 1803 260 W Bluetooth Soundbar (BOAT AAVANTE 1803 BAR SPEAKER),29092,1,3781.96,0,19,Oct-11,2011,October,10
CA-2011-106439,31-Oct-11,04-Nov-11,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Los Angeles,California,90049,West,LG,LG 108 cms (43 inches) 4K Ultra HD Smart LED TV 43UM7780PTA | with Built-in Alexa,12289,1,1597.57,0,19,Oct-11,2011,October,10
CA-2011-106439,31-Oct-11,04-Nov-11,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Los Angeles,California,90049,West,Sony,Sony Bravia 80 cm (32) HD Ready LED TV KLV-32R202G (Dark Brown),10698,1,1390.74,0,18,Oct-11,2011,October,10
CA-2011-106439,31-Oct-11,04-Nov-11,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Los Angeles,California,90049,West,LG,LG 80 cms (32 inches) HD Ready Smart LED TV 32LM636BPTB (Dark Iron Gray),23739,1,3086.07,0,14,Oct-11,2011,October,10
CA-2011-106439,31-Oct-11,04-Nov-11,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Los Angeles,California,90049,West,Skyworth,SKYWORTH  (32 inches) Full HD LED TV -32TB7000 (Silver),15763,1,2049.19,0,20,Oct-11,2011,October,10
CA-2013-118913,26-Jun-13,30-Jun-13,Standard Class,AS-10240,Alan Shonely,Consumer,United States,Los Angeles,California,90049,West,Samsung,Samsung 80 cm (32 Inches) HD Ready Smart LED TV UA32T4500AKBXL,12706,1,1651.78,0,16,Jun-13,2013,June,6
